,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10
Imperial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.91895856252291,0.0,0.0,0.0,28.648698203153636,0.0,45.83791712504582,22.918958562522903,22.918958562522903,0.0,45.837917125045834,28.64869820315363,28.648698203153657,40.10817748441505,28.648698203153685,0.0,11.459479281261451,63.02713604693798,28.64869820315363,11.459479281261451,22.918958562522903,0.0
Kern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1909993794893228,0.0,1.1909993794893228,0.0,2.3819987589786455,1.1909993794893232,0.0,10.718994415403904,11.909993794893229,10.718994415403909,9.527995035914579,7.145996276935939,4.763997517957286,29.774984487233077,29.77498448723307,10.718994415403913,53.59497207701952,52.40397269753021,7.145996276935932,23.81998758978642,25.01098696927579,25.01098696927579,50.02197393855158,25.010986969275734,39.302979523147656
Los Angeles,0.0,0.09961045339988903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5976627203993341,0.3984418135995561,0.1992209067997781,0.09961045339988894,0.0,0.49805226699944516,0.09961045339988894,0.7968836271991122,0.3984418135995562,0.796883627199112,1.2949358941985571,1.5937672543982249,2.490261334997226,4.98052266999445,4.582080856394896,4.0840285893954515,6.076237657393229,5.877016750593452,6.972731737992234,11.45520214098724,12.550917128386018,13.646632115784797,41.53755906775372,24.80300289657235,33.767943702562405,33.070670528763145,33.66833324916249,53.490813475740396,50.502499873743716,52.49470894174152,51.89704622134218,70.82303236732116,66.04173060412643,41.83639042795335,54.78574936993891,61.75848110793129,42.33444269495283,47.314965364947284
Orange,0.33220030881340695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6644006176268138,0.0,0.0,0.0,0.0,0.0,0.6644006176268139,0.0,0.3322003088134069,0.0,2.325402161693848,0.3322003088134071,0.9966009264402214,1.6610015440670347,2.325402161693848,4.318604014574291,3.6542033969474765,3.986403705760882,4.318604014574291,5.647405249827919,9.966009264402206,8.969408337961987,11.627010808469244,22.921821308125082,21.593020072871454,0.0,36.54203396947477,10.962610190842412,12.623611734909474,34.548832116594326,16.610015440670338,18.271016984737372,24.915023161005536,15.945614823043513,15.94561482304357,16.277815131856926,28.237026249139603,20.928619455244643,19.599818219990993
Riverside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40476882438133094,0.0,1.2143064731439928,0.0,0.0,0.8095376487626618,1.6190752975253235,0.0,0.809537648762662,0.809537648762662,0.809537648762662,0.0,2.428612946287985,2.428612946287986,0.809537648762662,6.071532365719964,1.214306473143992,4.45245706819464,19.428903570303884,0.0,31.57196830174381,0.0,4.047688243813312,38.857807140607775,32.381505950506465,0.0,49.38179657452238,58.691479535292956,10.928758258295943,54.23902246709838,59.50101718405563,28.33381770669314,65.97731837415694,40.881651262514424,28.33381770669314
San Bernardino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45869771132776915,0.45869771132776915,0.45869771132776904,0.9173954226555383,0.0,1.8347908453110766,0.0,3.6695816906221532,0.0,9.632651937883152,7.339163381244305,0.45869771132776904,4.128279401949925,0.0,21.55879243240515,0.0,33.02623521559937,32.56753750427161,22.93488556638846,22.476187855060687,0.0,8.715256515227622,72.4742383897875,7.797861092572077,43.11758486481031,40.365398596843704,37.154514617549296
San Diego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.299550973091336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.299550973091336,0.0,0.0,0.8986529192740079,1.198203892365344,0.29955097309133594,8.986529192740079,4.792815569461373,1.497754865456681,5.9910194618267205,7.1892233541920625,7.788325300374737,8.387427246557408,13.779344762201454,7.4887743272834015,3.594611677096026,16.475303520023473,13.18024281601879,22.765873954941526,21.268119089484856,9.286080165831407,25.16228173967224,39.24117747496501,34.44836190550362,35.04746385168633,43.734442071335025,29.05644438985962,35.0474638516863,23.364975901124183,14.977548654566817,22.765873954941526,29.35599536295092,20.369466170210842
San Luis Obispo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7086898311433503,3.7086898311433503,3.7086898311433494,11.12606949343005,3.708689831143353,22.2521389868601,11.126069493430052,40.79558814257685,0.0,22.252138986860103,33.37820848029017,14.834759324573383,29.669518649146795,18.543449155716758,29.669518649146795,14.834759324573412,22.252138986860075,11.126069493430066,11.126069493430066,22.252138986860075,14.83475932457344,0.0,7.417379662286692,0.0,14.834759324573383,11.126069493430066,7.417379662286692,11.126069493430066
Santa Barbara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3590747708748623,0.0,2.3590747708748623,0.0,14.154448625249174,2.3590747708748623,18.8725981669989,2.3590747708748623,0.0,14.154448625249174,4.7181495417497175,14.15444862524918,35.38612156312293,40.104271104872666,9.43629908349945,47.181495417497246,25.949822479623464,28.308897250498347,66.05409358449617,30.667972021373203,37.7451963339978,14.154448625249131,42.463345875747564,61.335944042746405,23.59074770874861,35.38612156312297,40.10427110487262
Ventura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.214597518820188,1.214597518820188,0.0,3.643792556460564,0.0,0.0,0.0,6.07298759410094,3.643792556460564,7.287585112921128,0.0,8.502182631741316,4.858390075280752,6.072987594100937,4.858390075280752,13.360572707022072,13.360572707022065,26.721145414044145,18.21896278230281,13.360572707022072,20.648157819943208,27.935742932864315,13.360572707022072,20.648157819943208,14.575170225842243,17.00436526348264,21.862755338763407,6.072987594100937,20.64815781994315,24.291950376403804,13.360572707022072,29.150340451684485
