date,county,categoryname,visits
2020-02-01,San Mateo,Clothing Stores,10414
2020-02-01,San Mateo,Medical Centers,10314
2020-02-01,San Mateo,Banks,14876
2020-02-01,San Mateo,Pharmacies,24837
2020-02-01,San Mateo,Salons / Barbershops,11699
2020-02-01,San Mateo,Hardware Stores,23746
2020-02-01,San Mateo,Gas Stations,63718
2020-02-01,San Mateo,Grocery Stores,104312
2020-02-01,San Mateo,Food Courts,16024
2020-02-01,San Mateo,Offices,39831
2020-02-01,San Mateo,Automotive Shops,11893
2020-02-01,San Mateo,Train Stations,12609
2020-02-01,San Mateo,Buildings,20770
2020-02-01,San Mateo,Churches,12586
2020-02-01,San Mateo,High Schools,15100
2020-02-01,San Mateo,Breakfast Spots,11905
2020-02-01,San Mateo,Chinese Restaurants,17213
2020-02-01,San Mateo,American Restaurants,20636
2020-02-01,San Mateo,Trails,24610
2020-02-01,San Mateo,Parks,43879
2020-02-01,San Mateo,Bakeries,12330
2020-02-01,San Mateo,Burger Joints,13559
2020-02-01,San Mateo,Cafés,13863
2020-02-01,San Mateo,Fast Food Restaurants,42474
2020-02-01,San Mateo,Gyms or Fitness Centers,23610
2020-02-01,San Mateo,Gyms,14941
2020-02-01,San Mateo,Mexican Restaurants,27124
2020-02-01,San Mateo,Pizza Places,14038
2020-02-01,San Mateo,Seafood Restaurants,9832
2020-02-01,San Mateo,Coffee Shops,53956
2020-02-01,San Mateo,Beaches,15051
2020-02-01,San Mateo,Playgrounds,11949
2020-02-01,San Mateo,Airport Terminals,161085
2020-02-01,San Mateo,Airport Trams,11968
2020-02-01,San Mateo,Airports,107002
2020-02-01,San Mateo,Rental Car Locations,19628
2020-02-01,San Mateo,Airport Gates,41956
2020-02-01,San Mateo,Department Stores,14027
2020-02-01,San Mateo,Furniture / Home Stores,11880
2020-02-01,San Mateo,Hotels,28953
2020-02-01,San Mateo,Metro Stations,16474
2020-02-01,San Mateo,Shopping Malls,131239
2020-02-01,San Mateo,Parking,43489
2020-02-01,San Mateo,Residential Buildings (Apartments / Condos),22652
2020-02-01,San Mateo,Airport Lounges,14381
2020-02-01,San Mateo,Car Washes,10579
2020-02-01,San Mateo,Elementary Schools,16222
2020-02-01,San Mateo,Warehouse Stores,38979
2020-02-01,San Mateo,Big Box Stores,24716
2020-02-01,San Mateo,Supermarkets,21655
2020-02-01,San Mateo,Airport Services,31404
2020-02-01,San Mateo,Shopping Plazas,49568
2020-02-01,San Mateo,Airport,371568
2020-02-01,San Mateo,Arts & Entertainment,32422
2020-02-01,San Mateo,Banks,14876
2020-02-01,San Mateo,Beach,17166
2020-02-01,San Mateo,Big Box Stores,24716
2020-02-01,San Mateo,Colleges & Universities,12619
2020-02-01,San Mateo,Convenience Store,13618
2020-02-01,San Mateo,Drug Store,24837
2020-02-01,San Mateo,Fast Food Restaurants,42474
2020-02-01,San Mateo,Fitness Center,47694
2020-02-01,San Mateo,Food,379745
2020-02-01,San Mateo,Gas Stations,63718
2020-02-01,San Mateo,Government,11104
2020-02-01,San Mateo,Grocery,125968
2020-02-01,San Mateo,Hardware Stores,23746
2020-02-01,San Mateo,Hotel,33652
2020-02-01,San Mateo,Medical,36590
2020-02-01,San Mateo,Metro Stations,16474
2020-02-01,San Mateo,Nightlife Spots,36207
2020-02-01,San Mateo,Office,54782
2020-02-01,San Mateo,Outdoors & Recreation,152460
2020-02-01,San Mateo,Professional & Other Places,95909
2020-02-01,San Mateo,Residences,29763
2020-02-01,San Mateo,School,52876
2020-02-01,San Mateo,Shops & Services,413239
2020-02-01,San Mateo,Spiritual Center,16079
2020-02-01,San Mateo,Sports,16941
2020-02-01,San Mateo,Travel & Transport,47300
2020-02-02,San Mateo,Clothing Stores,9292
2020-02-02,San Mateo,Pharmacies,25600
2020-02-02,San Mateo,Hardware Stores,21689
2020-02-02,San Mateo,Gas Stations,48631
2020-02-02,San Mateo,Grocery Stores,125231
2020-02-02,San Mateo,Food Courts,12829
2020-02-02,San Mateo,Offices,21742
2020-02-02,San Mateo,Buildings,13796
2020-02-02,San Mateo,Churches,32102
2020-02-02,San Mateo,Breakfast Spots,11949
2020-02-02,San Mateo,Chinese Restaurants,21791
2020-02-02,San Mateo,American Restaurants,16500
2020-02-02,San Mateo,Trails,18386
2020-02-02,San Mateo,Parks,43455
2020-02-02,San Mateo,Bakeries,12282
2020-02-02,San Mateo,Burger Joints,11665
2020-02-02,San Mateo,Fast Food Restaurants,35748
2020-02-02,San Mateo,Gyms or Fitness Centers,17355
2020-02-02,San Mateo,Mexican Restaurants,19772
2020-02-02,San Mateo,Pizza Places,13066
2020-02-02,San Mateo,Coffee Shops,48030
2020-02-02,San Mateo,Playgrounds,13880
2020-02-02,San Mateo,Airport Terminals,147976
2020-02-02,San Mateo,Airport Trams,10226
2020-02-02,San Mateo,Airports,99601
2020-02-02,San Mateo,Rental Car Locations,17712
2020-02-02,San Mateo,Airport Gates,41166
2020-02-02,San Mateo,Sporting Goods Shops,10233
2020-02-02,San Mateo,Department Stores,16149
2020-02-02,San Mateo,Furniture / Home Stores,15781
2020-02-02,San Mateo,Hotels,23295
2020-02-02,San Mateo,Metro Stations,12164
2020-02-02,San Mateo,Shopping Malls,140696
2020-02-02,San Mateo,Parking,39144
2020-02-02,San Mateo,Residential Buildings (Apartments / Condos),18809
2020-02-02,San Mateo,Airport Lounges,13054
2020-02-02,San Mateo,Bubble Tea Shops,9684
2020-02-02,San Mateo,Warehouse Stores,31394
2020-02-02,San Mateo,Big Box Stores,23183
2020-02-02,San Mateo,Supermarkets,25805
2020-02-02,San Mateo,Airport Services,28923
2020-02-02,San Mateo,Shopping Plazas,51492
2020-02-02,San Mateo,Airport,347930
2020-02-02,San Mateo,Arts & Entertainment,25701
2020-02-02,San Mateo,Beach,9903
2020-02-02,San Mateo,Big Box Stores,23183
2020-02-02,San Mateo,Convenience Store,13302
2020-02-02,San Mateo,Drug Store,25600
2020-02-02,San Mateo,Fast Food Restaurants,35748
2020-02-02,San Mateo,Fitness Center,34502
2020-02-02,San Mateo,Food,340775
2020-02-02,San Mateo,Gas Stations,48631
2020-02-02,San Mateo,Grocery,151036
2020-02-02,San Mateo,Hardware Stores,21689
2020-02-02,San Mateo,Hotel,26846
2020-02-02,San Mateo,Medical,20828
2020-02-02,San Mateo,Metro Stations,12164
2020-02-02,San Mateo,Nightlife Spots,27857
2020-02-02,San Mateo,Office,26909
2020-02-02,San Mateo,Outdoors & Recreation,129628
2020-02-02,San Mateo,Professional & Other Places,74577
2020-02-02,San Mateo,Residences,23427
2020-02-02,San Mateo,School,37157
2020-02-02,San Mateo,Shops & Services,387990
2020-02-02,San Mateo,Spiritual Center,35696
2020-02-02,San Mateo,Sports,11950
2020-02-02,San Mateo,Travel & Transport,38031
2020-02-03,San Mateo,Medical Centers,18348
2020-02-03,San Mateo,Banks,16381
2020-02-03,San Mateo,Pharmacies,22670
2020-02-03,San Mateo,Hardware Stores,15566
2020-02-03,San Mateo,Gas Stations,51579
2020-02-03,San Mateo,Grocery Stores,66469
2020-02-03,San Mateo,Offices,75434
2020-02-03,San Mateo,Automotive Shops,10912
2020-02-03,San Mateo,Tech Startups,10411
2020-02-03,San Mateo,Train Stations,10517
2020-02-03,San Mateo,Buildings,23535
2020-02-03,San Mateo,Churches,13390
2020-02-03,San Mateo,High Schools,16165
2020-02-03,San Mateo,American Restaurants,14389
2020-02-03,San Mateo,Trails,13527
2020-02-03,San Mateo,Parks,28330
2020-02-03,San Mateo,Cafés,12298
2020-02-03,San Mateo,Fast Food Restaurants,31951
2020-02-03,San Mateo,Gyms or Fitness Centers,18080
2020-02-03,San Mateo,Gyms,12357
2020-02-03,San Mateo,Doctor's Offices,17221
2020-02-03,San Mateo,Mexican Restaurants,13527
2020-02-03,San Mateo,Coffee Shops,42630
2020-02-03,San Mateo,Airport Terminals,192537
2020-02-03,San Mateo,Airport Trams,13314
2020-02-03,San Mateo,Airports,129306
2020-02-03,San Mateo,Rental Car Locations,19553
2020-02-03,San Mateo,Airport Gates,52481
2020-02-03,San Mateo,Hotels,24570
2020-02-03,San Mateo,Metro Stations,18385
2020-02-03,San Mateo,Shopping Malls,76615
2020-02-03,San Mateo,Parking,46254
2020-02-03,San Mateo,Residential Buildings (Apartments / Condos),16562
2020-02-03,San Mateo,Airport Lounges,17905
2020-02-03,San Mateo,Elementary Schools,19421
2020-02-03,San Mateo,Warehouse Stores,21082
2020-02-03,San Mateo,Big Box Stores,14795
2020-02-03,San Mateo,Supermarkets,12471
2020-02-03,San Mateo,Corporate Cafeterias,9344
2020-02-03,San Mateo,Airport Services,38769
2020-02-03,San Mateo,Shopping Plazas,29134
2020-02-03,San Mateo,Airport,450102
2020-02-03,San Mateo,Arts & Entertainment,16954
2020-02-03,San Mateo,Banks,16381
2020-02-03,San Mateo,Big Box Stores,14795
2020-02-03,San Mateo,Colleges & Universities,27098
2020-02-03,San Mateo,Convenience Store,13060
2020-02-03,San Mateo,Drug Store,22670
2020-02-03,San Mateo,Fast Food Restaurants,31951
2020-02-03,San Mateo,Fitness Center,36216
2020-02-03,San Mateo,Food,232742
2020-02-03,San Mateo,Gas Stations,51579
2020-02-03,San Mateo,Government,16770
2020-02-03,San Mateo,Grocery,78940
2020-02-03,San Mateo,Hardware Stores,15566
2020-02-03,San Mateo,Hotel,26627
2020-02-03,San Mateo,Medical,58963
2020-02-03,San Mateo,Metro Stations,18385
2020-02-03,San Mateo,Nightlife Spots,23507
2020-02-03,San Mateo,Office,100716
2020-02-03,San Mateo,Outdoors & Recreation,95357
2020-02-03,San Mateo,Professional & Other Places,103201
2020-02-03,San Mateo,Residences,20965
2020-02-03,San Mateo,School,58604
2020-02-03,San Mateo,Shops & Services,248794
2020-02-03,San Mateo,Spiritual Center,16162
2020-02-03,San Mateo,Sports,11766
2020-02-03,San Mateo,Travel & Transport,43569
2020-02-04,San Mateo,Medical Centers,21104
2020-02-04,San Mateo,Banks,15706
2020-02-04,San Mateo,Pharmacies,25196
2020-02-04,San Mateo,Hardware Stores,15251
2020-02-04,San Mateo,Gas Stations,48215
2020-02-04,San Mateo,Grocery Stores,76478
2020-02-04,San Mateo,Offices,103191
2020-02-04,San Mateo,Automotive Shops,11783
2020-02-04,San Mateo,Tech Startups,13711
2020-02-04,San Mateo,Train Stations,18703
2020-02-04,San Mateo,Buildings,29114
2020-02-04,San Mateo,Churches,12200
2020-02-04,San Mateo,Schools,11961
2020-02-04,San Mateo,High Schools,19704
2020-02-04,San Mateo,Chinese Restaurants,11174
2020-02-04,San Mateo,American Restaurants,12629
2020-02-04,San Mateo,Trails,12272
2020-02-04,San Mateo,Parks,31443
2020-02-04,San Mateo,Cafés,13775
2020-02-04,San Mateo,Fast Food Restaurants,36104
2020-02-04,San Mateo,Gyms or Fitness Centers,23937
2020-02-04,San Mateo,Gyms,18891
2020-02-04,San Mateo,Doctor's Offices,14625
2020-02-04,San Mateo,Dentist's Offices,11499
2020-02-04,San Mateo,Mexican Restaurants,12912
2020-02-04,San Mateo,Coffee Shops,40041
2020-02-04,San Mateo,Airport Terminals,145335
2020-02-04,San Mateo,Airport Trams,10815
2020-02-04,San Mateo,Airports,105564
2020-02-04,San Mateo,Rental Car Locations,15151
2020-02-04,San Mateo,Airport Gates,39669
2020-02-04,San Mateo,Hotels,28851
2020-02-04,San Mateo,Metro Stations,24487
2020-02-04,San Mateo,Shopping Malls,103647
2020-02-04,San Mateo,Parking,50071
2020-02-04,San Mateo,Residential Buildings (Apartments / Condos),18300
2020-02-04,San Mateo,Airport Lounges,13645
2020-02-04,San Mateo,Elementary Schools,22844
2020-02-04,San Mateo,Warehouse Stores,24840
2020-02-04,San Mateo,Big Box Stores,13912
2020-02-04,San Mateo,Supermarkets,15579
2020-02-04,San Mateo,Corporate Cafeterias,11736
2020-02-04,San Mateo,Airport Services,27887
2020-02-04,San Mateo,Shopping Plazas,38769
2020-02-04,San Mateo,Airport,346870
2020-02-04,San Mateo,Arts & Entertainment,18414
2020-02-04,San Mateo,Banks,15706
2020-02-04,San Mateo,Big Box Stores,13912
2020-02-04,San Mateo,Bus,14315
2020-02-04,San Mateo,Colleges & Universities,37390
2020-02-04,San Mateo,Convenience Store,14553
2020-02-04,San Mateo,Drug Store,25196
2020-02-04,San Mateo,Fast Food Restaurants,36104
2020-02-04,San Mateo,Fitness Center,49823
2020-02-04,San Mateo,Food,266796
2020-02-04,San Mateo,Gas Stations,48215
2020-02-04,San Mateo,Government,18510
2020-02-04,San Mateo,Grocery,92057
2020-02-04,San Mateo,Hardware Stores,15251
2020-02-04,San Mateo,Hotel,31440
2020-02-04,San Mateo,Medical,63684
2020-02-04,San Mateo,Metro Stations,24487
2020-02-04,San Mateo,Nightlife Spots,24347
2020-02-04,San Mateo,Office,134982
2020-02-04,San Mateo,Outdoors & Recreation,103329
2020-02-04,San Mateo,Professional & Other Places,123432
2020-02-04,San Mateo,Residences,23328
2020-02-04,San Mateo,School,68894
2020-02-04,San Mateo,Shops & Services,335329
2020-02-04,San Mateo,Spiritual Center,17027
2020-02-04,San Mateo,Sports,13717
2020-02-04,San Mateo,Travel & Transport,47151
2020-02-05,San Mateo,Medical Centers,21341
2020-02-05,San Mateo,Banks,13120
2020-02-05,San Mateo,Pharmacies,24793
2020-02-05,San Mateo,Hardware Stores,15238
2020-02-05,San Mateo,Gas Stations,55952
2020-02-05,San Mateo,Grocery Stores,75748
2020-02-05,San Mateo,Offices,102199
2020-02-05,San Mateo,Automotive Shops,11968
2020-02-05,San Mateo,Tech Startups,14604
2020-02-05,San Mateo,Train Stations,17178
2020-02-05,San Mateo,Libraries,11358
2020-02-05,San Mateo,Buildings,30284
2020-02-05,San Mateo,Churches,11990
2020-02-05,San Mateo,Schools,14560
2020-02-05,San Mateo,High Schools,20143
2020-02-05,San Mateo,American Restaurants,17608
2020-02-05,San Mateo,Trails,14929
2020-02-05,San Mateo,Parks,33670
2020-02-05,San Mateo,Cafés,17135
2020-02-05,San Mateo,Fast Food Restaurants,32006
2020-02-05,San Mateo,Gyms or Fitness Centers,24420
2020-02-05,San Mateo,Gyms,17516
2020-02-05,San Mateo,Doctor's Offices,15842
2020-02-05,San Mateo,Dentist's Offices,10340
2020-02-05,San Mateo,Mexican Restaurants,14805
2020-02-05,San Mateo,Coffee Shops,47510
2020-02-05,San Mateo,Playgrounds,10691
2020-02-05,San Mateo,Airport Terminals,146921
2020-02-05,San Mateo,Airport Trams,10315
2020-02-05,San Mateo,Airports,99971
2020-02-05,San Mateo,Rental Car Locations,20793
2020-02-05,San Mateo,Airport Gates,41873
2020-02-05,San Mateo,Hotels,32830
2020-02-05,San Mateo,Metro Stations,22964
2020-02-05,San Mateo,Shopping Malls,90445
2020-02-05,San Mateo,Parking,41896
2020-02-05,San Mateo,Residential Buildings (Apartments / Condos),16837
2020-02-05,San Mateo,Airport Lounges,13387
2020-02-05,San Mateo,Elementary Schools,26275
2020-02-05,San Mateo,Warehouse Stores,27602
2020-02-05,San Mateo,Big Box Stores,12608
2020-02-05,San Mateo,Supermarkets,13767
2020-02-05,San Mateo,Corporate Cafeterias,9333
2020-02-05,San Mateo,Airport Services,37928
2020-02-05,San Mateo,Shopping Plazas,33636
2020-02-05,San Mateo,Airport,354861
2020-02-05,San Mateo,Arts & Entertainment,20274
2020-02-05,San Mateo,Banks,13120
2020-02-05,San Mateo,Beach,10888
2020-02-05,San Mateo,Big Box Stores,12608
2020-02-05,San Mateo,Colleges & Universities,43081
2020-02-05,San Mateo,Convenience Store,12708
2020-02-05,San Mateo,Drug Store,24793
2020-02-05,San Mateo,Fast Food Restaurants,32006
2020-02-05,San Mateo,Fitness Center,50191
2020-02-05,San Mateo,Food,268832
2020-02-05,San Mateo,Gas Stations,55952
2020-02-05,San Mateo,Government,16146
2020-02-05,San Mateo,Grocery,89821
2020-02-05,San Mateo,Hardware Stores,15238
2020-02-05,San Mateo,Hotel,34750
2020-02-05,San Mateo,Medical,65275
2020-02-05,San Mateo,Metro Stations,22964
2020-02-05,San Mateo,Nightlife Spots,26245
2020-02-05,San Mateo,Office,131534
2020-02-05,San Mateo,Outdoors & Recreation,110225
2020-02-05,San Mateo,Professional & Other Places,111952
2020-02-05,San Mateo,Residences,23165
2020-02-05,San Mateo,School,78080
2020-02-05,San Mateo,Shops & Services,307351
2020-02-05,San Mateo,Spiritual Center,15517
2020-02-05,San Mateo,Sports,13803
2020-02-05,San Mateo,Travel & Transport,51198
2020-02-06,San Mateo,Medical Centers,17847
2020-02-06,San Mateo,Banks,11288
2020-02-06,San Mateo,Pharmacies,24839
2020-02-06,San Mateo,Hardware Stores,20913
2020-02-06,San Mateo,Gas Stations,55227
2020-02-06,San Mateo,Grocery Stores,71321
2020-02-06,San Mateo,Offices,100214
2020-02-06,San Mateo,Automotive Shops,15013
2020-02-06,San Mateo,Tech Startups,18483
2020-02-06,San Mateo,Train Stations,15446
2020-02-06,San Mateo,Libraries,9709
2020-02-06,San Mateo,Buildings,31609
2020-02-06,San Mateo,Churches,12696
2020-02-06,San Mateo,Schools,13980
2020-02-06,San Mateo,High Schools,24237
2020-02-06,San Mateo,Chinese Restaurants,15981
2020-02-06,San Mateo,American Restaurants,17087
2020-02-06,San Mateo,Trails,15598
2020-02-06,San Mateo,Parks,36235
2020-02-06,San Mateo,Burger Joints,12057
2020-02-06,San Mateo,Cafés,14100
2020-02-06,San Mateo,Fast Food Restaurants,36894
2020-02-06,San Mateo,Gyms or Fitness Centers,25151
2020-02-06,San Mateo,Gyms,16529
2020-02-06,San Mateo,Doctor's Offices,16702
2020-02-06,San Mateo,Mexican Restaurants,19039
2020-02-06,San Mateo,Coffee Shops,44167
2020-02-06,San Mateo,Playgrounds,11102
2020-02-06,San Mateo,Airport Terminals,160668
2020-02-06,San Mateo,Airport Trams,11110
2020-02-06,San Mateo,Airports,105610
2020-02-06,San Mateo,Rental Car Locations,13719
2020-02-06,San Mateo,Airport Gates,51056
2020-02-06,San Mateo,Hotels,31624
2020-02-06,San Mateo,Metro Stations,24027
2020-02-06,San Mateo,Shopping Malls,95177
2020-02-06,San Mateo,Parking,48112
2020-02-06,San Mateo,Residential Buildings (Apartments / Condos),19460
2020-02-06,San Mateo,Airport Lounges,14314
2020-02-06,San Mateo,Elementary Schools,22372
2020-02-06,San Mateo,Warehouse Stores,25252
2020-02-06,San Mateo,Big Box Stores,13820
2020-02-06,San Mateo,Supermarkets,17196
2020-02-06,San Mateo,Corporate Cafeterias,12617
2020-02-06,San Mateo,Airport Services,40086
2020-02-06,San Mateo,Shopping Plazas,39762
2020-02-06,San Mateo,Airport,386331
2020-02-06,San Mateo,Arts & Entertainment,27995
2020-02-06,San Mateo,Banks,11288
2020-02-06,San Mateo,Big Box Stores,13820
2020-02-06,San Mateo,Colleges & Universities,40638
2020-02-06,San Mateo,Convenience Store,15549
2020-02-06,San Mateo,Drug Store,24839
2020-02-06,San Mateo,Fast Food Restaurants,36894
2020-02-06,San Mateo,Fitness Center,50869
2020-02-06,San Mateo,Food,297193
2020-02-06,San Mateo,Gas Stations,55227
2020-02-06,San Mateo,Government,14196
2020-02-06,San Mateo,Grocery,88671
2020-02-06,San Mateo,Hardware Stores,20913
2020-02-06,San Mateo,Hotel,34800
2020-02-06,San Mateo,Medical,60827
2020-02-06,San Mateo,Metro Stations,24027
2020-02-06,San Mateo,Nightlife Spots,23499
2020-02-06,San Mateo,Office,137309
2020-02-06,San Mateo,Outdoors & Recreation,113573
2020-02-06,San Mateo,Professional & Other Places,118416
2020-02-06,San Mateo,Residences,23116
2020-02-06,San Mateo,School,81428
2020-02-06,San Mateo,Shops & Services,312902
2020-02-06,San Mateo,Spiritual Center,16515
2020-02-06,San Mateo,Sports,20236
2020-02-06,San Mateo,Travel & Transport,44867
2020-02-07,San Mateo,Medical Centers,21489
2020-02-07,San Mateo,Banks,14267
2020-02-07,San Mateo,Pharmacies,23607
2020-02-07,San Mateo,Hardware Stores,18239
2020-02-07,San Mateo,Gas Stations,61593
2020-02-07,San Mateo,Grocery Stores,80053
2020-02-07,San Mateo,Food Courts,10055
2020-02-07,San Mateo,Offices,94612
2020-02-07,San Mateo,Automotive Shops,11274
2020-02-07,San Mateo,Tech Startups,12896
2020-02-07,San Mateo,Train Stations,15067
2020-02-07,San Mateo,Buildings,30748
2020-02-07,San Mateo,Churches,14808
2020-02-07,San Mateo,Schools,12655
2020-02-07,San Mateo,High Schools,20622
2020-02-07,San Mateo,Chinese Restaurants,10898
2020-02-07,San Mateo,American Restaurants,17862
2020-02-07,San Mateo,Trails,17331
2020-02-07,San Mateo,Parks,33407
2020-02-07,San Mateo,Bakeries,9765
2020-02-07,San Mateo,Burger Joints,10413
2020-02-07,San Mateo,Cafés,15420
2020-02-07,San Mateo,Fast Food Restaurants,32017
2020-02-07,San Mateo,Gyms or Fitness Centers,24502
2020-02-07,San Mateo,Gyms,18512
2020-02-07,San Mateo,Doctor's Offices,14672
2020-02-07,San Mateo,Dentist's Offices,10245
2020-02-07,San Mateo,Hospitals,10394
2020-02-07,San Mateo,Mexican Restaurants,17333
2020-02-07,San Mateo,Coffee Shops,51265
2020-02-07,San Mateo,Playgrounds,10434
2020-02-07,San Mateo,Airport Terminals,171647
2020-02-07,San Mateo,Airport Trams,14450
2020-02-07,San Mateo,Airports,113857
2020-02-07,San Mateo,Rental Car Locations,19296
2020-02-07,San Mateo,Airport Gates,46744
2020-02-07,San Mateo,Hotels,34595
2020-02-07,San Mateo,Metro Stations,24569
2020-02-07,San Mateo,Shopping Malls,102609
2020-02-07,San Mateo,Parking,45909
2020-02-07,San Mateo,Residential Buildings (Apartments / Condos),17930
2020-02-07,San Mateo,Convenience Stores,9910
2020-02-07,San Mateo,Airport Lounges,15119
2020-02-07,San Mateo,Elementary Schools,28994
2020-02-07,San Mateo,Warehouse Stores,28051
2020-02-07,San Mateo,Big Box Stores,14792
2020-02-07,San Mateo,Supermarkets,18000
2020-02-07,San Mateo,Corporate Cafeterias,13151
2020-02-07,San Mateo,Airport Services,39463
2020-02-07,San Mateo,Shopping Plazas,40281
2020-02-07,San Mateo,Airport,404815
2020-02-07,San Mateo,Arts & Entertainment,21424
2020-02-07,San Mateo,Banks,14267
2020-02-07,San Mateo,Beach,10880
2020-02-07,San Mateo,Big Box Stores,14792
2020-02-07,San Mateo,Colleges & Universities,29134
2020-02-07,San Mateo,Convenience Store,15509
2020-02-07,San Mateo,Drug Store,23607
