system:time_start,Marin,Contra Costa,Solano,San Mateo,Alameda,Sonoma,Santa Clara,Napa
"Jan 1, 2020",0.007,0.006,0.006,0.005,0.006,0.008,0.006,0.006
"Jan 1, 2020",0.007,0.006,0.006,0.005,0.005,0.007,0.006,0.005
"Jan 1, 2020",0.007,0.005,0.006,0.005,0.005,0.007,0.005,0.005
"Jan 1, 2020",0.007,0.005,0.006,0.005,0.005,0.007,0.005,0.004
"Jan 1, 2020",0.007,0.005,0.006,0.005,0.005,0.007,0.005,0.004
"Jan 1, 2020",0.007,0.005,0.005,0.005,0.005,0.007,0.005,0.004
"Jan 1, 2020",0.007,0.005,0.005,0.005,0.005,0.007,0.005,0.004
"Jan 1, 2020",0.007,0.005,0.005,0.006,0.005,0.007,0.005,0.005
"Jan 1, 2020",0.007,0.005,0.005,0.006,0.005,0.007,0.005,0.005
"Jan 1, 2020",0.007,0.006,0.005,0.006,0.005,0.007,0.005,0.005
"Jan 1, 2020",0.007,0.006,0.006,0.006,0.006,0.007,0.005,0.005
"Jan 1, 2020",0.007,0.006,0.006,0.006,0.006,0.008,0.005,0.005
"Jan 1, 2020",0.007,0.006,0.006,0.006,0.006,0.008,0.006,0.005
"Jan 1, 2020",0.007,0.006,0.005,0.006,0.006,0.008,0.005,0.005
"Jan 1, 2020",0.007,0.005,0.005,0.006,0.005,0.008,0.005,0.005
"Jan 1, 2020",0.007,0.005,0.005,0.006,0.005,0.007,0.005,0.005
"Jan 1, 2020",0.007,0.006,0.005,0.006,0.006,0.008,0.005,0.005
"Jan 1, 2020",0.008,0.006,0.006,0.007,0.006,0.008,0.005,0.006
"Jan 1, 2020",0.008,0.006,0.006,0.007,0.007,0.008,0.006,0.006
"Jan 1, 2020",0.008,0.007,0.006,0.007,0.007,0.008,0.006,0.007
"Jan 1, 2020",0.008,0.007,0.007,0.008,0.007,0.009,0.007,0.007
"Jan 1, 2020",0.009,0.007,0.007,0.008,0.007,0.009,0.007,0.008
"Jan 1, 2020",0.009,0.007,0.007,0.008,0.008,0.009,0.008,0.008
"Jan 1, 2020",0.009,0.008,0.007,0.008,0.008,0.009,0.008,0.008
"Jan 2, 2020",0.009,0.008,0.007,0.008,0.008,0.009,0.008,0.008
"Jan 2, 2020",0.008,0.008,0.007,0.008,0.008,0.008,0.008,0.007
"Jan 2, 2020",0.008,0.008,0.007,0.008,0.008,0.008,0.008,0.007
"Jan 2, 2020",0.008,0.007,0.007,0.008,0.008,0.008,0.008,0.007
"Jan 2, 2020",0.008,0.007,0.007,0.008,0.008,0.008,0.008,0.007
"Jan 2, 2020",0.008,0.007,0.007,0.008,0.008,0.008,0.008,0.006
"Jan 2, 2020",0.008,0.007,0.006,0.008,0.007,0.007,0.008,0.006
"Jan 2, 2020",0.007,0.007,0.006,0.007,0.007,0.007,0.007,0.006
"Jan 2, 2020",0.007,0.006,0.006,0.007,0.007,0.007,0.007,0.006
"Jan 2, 2020",0.007,0.006,0.006,0.007,0.007,0.007,0.007,0.005
"Jan 2, 2020",0.007,0.006,0.006,0.007,0.006,0.007,0.007,0.005
"Jan 2, 2020",0.007,0.006,0.006,0.007,0.006,0.007,0.006,0.005
"Jan 2, 2020",0.007,0.006,0.006,0.007,0.006,0.007,0.006,0.005
"Jan 2, 2020",0.007,0.006,0.005,0.006,0.006,0.007,0.006,0.005
"Jan 2, 2020",0.007,0.005,0.005,0.006,0.006,0.006,0.006,0.005
"Jan 2, 2020",0.007,0.005,0.005,0.006,0.005,0.006,0.006,0.005
"Jan 2, 2020",0.007,0.006,0.005,0.006,0.006,0.006,0.006,0.005
"Jan 2, 2020",0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005
"Jan 2, 2020",0.008,0.006,0.006,0.006,0.006,0.007,0.006,0.005
"Jan 2, 2020",0.008,0.006,0.006,0.006,0.006,0.007,0.006,0.005
"Jan 2, 2020",0.008,0.006,0.006,0.006,0.006,0.007,0.005,0.005
"Jan 2, 2020",0.008,0.006,0.006,0.006,0.006,0.007,0.005,0.005
"Jan 2, 2020",0.008,0.006,0.006,0.006,0.006,0.007,0.005,0.005
"Jan 2, 2020",0.008,0.006,0.006,0.006,0.006,0.007,0.005,0.005
"Jan 3, 2020",0.008,0.006,0.006,0.006,0.006,0.007,0.005,0.005
"Jan 3, 2020",0.007,0.006,0.006,0.006,0.005,0.007,0.005,0.005
"Jan 3, 2020",0.007,0.006,0.006,0.006,0.005,0.006,0.005,0.004
"Jan 3, 2020",0.007,0.006,0.006,0.006,0.005,0.006,0.005,0.004
"Jan 3, 2020",0.007,0.005,0.006,0.006,0.005,0.006,0.005,0.004
"Jan 3, 2020",0.007,0.005,0.005,0.005,0.005,0.006,0.004,0.004
"Jan 3, 2020",0.007,0.005,0.005,0.005,0.005,0.006,0.004,0.004
"Jan 3, 2020",0.006,0.005,0.005,0.005,0.005,0.006,0.004,0.004
"Jan 3, 2020",0.006,0.005,0.005,0.005,0.005,0.006,0.004,0.004
"Jan 3, 2020",0.006,0.005,0.005,0.005,0.005,0.006,0.004,0.004
"Jan 3, 2020",0.006,0.005,0.005,0.005,0.005,0.006,0.004,0.004
"Jan 3, 2020",0.006,0.005,0.005,0.005,0.004,0.006,0.004,0.004
"Jan 3, 2020",0.006,0.004,0.005,0.004,0.004,0.006,0.004,0.004
"Jan 3, 2020",0.006,0.004,0.004,0.004,0.004,0.006,0.005,0.004
"Jan 3, 2020",0.006,0.004,0.004,0.004,0.004,0.006,0.005,0.004
"Jan 3, 2020",0.005,0.004,0.004,0.004,0.004,0.006,0.005,0.004
"Jan 3, 2020",0.006,0.004,0.004,0.004,0.004,0.006,0.005,0.004
"Jan 3, 2020",0.006,0.005,0.005,0.005,0.005,0.006,0.005,0.004
"Jan 3, 2020",0.006,0.005,0.005,0.005,0.005,0.006,0.005,0.005
"Jan 3, 2020",0.006,0.005,0.005,0.005,0.005,0.006,0.006,0.005
"Jan 3, 2020",0.006,0.005,0.006,0.005,0.005,0.007,0.006,0.005
"Jan 3, 2020",0.006,0.005,0.006,0.005,0.005,0.007,0.006,0.005
"Jan 3, 2020",0.006,0.006,0.006,0.006,0.005,0.007,0.006,0.006
"Jan 3, 2020",0.007,0.006,0.006,0.006,0.005,0.007,0.006,0.006
"Jan 4, 2020",0.007,0.006,0.006,0.006,0.006,0.007,0.006,0.006
"Jan 4, 2020",0.007,0.006,0.006,0.006,0.006,0.007,0.006,0.006
"Jan 4, 2020",0.007,0.006,0.006,0.006,0.006,0.007,0.006,0.006
"Jan 4, 2020",0.007,0.006,0.006,0.006,0.006,0.007,0.005,0.006
"Jan 4, 2020",0.007,0.006,0.006,0.006,0.006,0.007,0.005,0.006
"Jan 4, 2020",0.007,0.006,0.006,0.006,0.006,0.007,0.005,0.006
"Jan 4, 2020",0.007,0.006,0.006,0.006,0.006,0.007,0.005,0.006
"Jan 4, 2020",0.007,0.006,0.006,0.006,0.006,0.007,0.005,0.006
"Jan 4, 2020",0.007,0.006,0.006,0.006,0.006,0.007,0.005,0.006
"Jan 4, 2020",0.007,0.006,0.006,0.006,0.006,0.008,0.006,0.006
"Jan 4, 2020",0.007,0.006,0.006,0.007,0.006,0.007,0.006,0.007
"Jan 4, 2020",0.007,0.006,0.006,0.007,0.006,0.007,0.006,0.007
"Jan 4, 2020",0.007,0.006,0.006,0.007,0.007,0.007,0.006,0.007
"Jan 4, 2020",0.007,0.006,0.006,0.007,0.007,0.007,0.006,0.007
"Jan 4, 2020",0.007,0.006,0.006,0.007,0.006,0.007,0.005,0.006
"Jan 4, 2020",0.007,0.006,0.005,0.006,0.006,0.007,0.005,0.006
"Jan 4, 2020",0.007,0.006,0.006,0.006,0.006,0.007,0.006,0.006
"Jan 4, 2020",0.007,0.006,0.006,0.007,0.007,0.007,0.006,0.006
"Jan 4, 2020",0.008,0.006,0.006,0.007,0.007,0.007,0.007,0.007
"Jan 4, 2020",0.008,0.006,0.006,0.007,0.007,0.007,0.007,0.007
"Jan 4, 2020",0.007,0.006,0.006,0.006,0.006,0.007,0.007,0.006
"Jan 4, 2020",0.007,0.006,0.007,0.006,0.006,0.007,0.007,0.006
"Jan 4, 2020",0.007,0.006,0.007,0.006,0.006,0.007,0.007,0.006
"Jan 4, 2020",0.007,0.006,0.007,0.006,0.006,0.007,0.007,0.006
"Jan 5, 2020",0.007,0.006,0.007,0.006,0.006,0.007,0.006,0.006
"Jan 5, 2020",0.007,0.006,0.006,0.006,0.006,0.007,0.006,0.006
"Jan 5, 2020",0.007,0.006,0.006,0.006,0.006,0.007,0.006,0.005
"Jan 5, 2020",0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005
"Jan 5, 2020",0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005
"Jan 5, 2020",0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005
"Jan 5, 2020",0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005
"Jan 5, 2020",0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005
"Jan 5, 2020",0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005
