date,San Francisco,Napa,Santa Clara,Sonoma,Alameda,San Mateo,Solano,Contra Costa,Marin
2020-01-01,285.9,282.20000000000005,285.625,285.9,282.20000000000005,285.625,282.20000000000005,282.20000000000005,285.9
2020-01-02,284.82500000000005,281.275,286.15,284.82500000000005,281.275,286.15,281.275,281.275,284.82500000000005
2020-01-03,285.55,281.1,285.425,285.55,281.1,285.425,281.1,281.1,285.55
2020-01-04,284.42499999999995,281.425,285.675,284.42499999999995,281.425,285.675,281.425,281.425,284.42499999999995
2020-01-05,283.975,279.90000000000003,284.575,283.975,279.90000000000003,284.575,279.90000000000003,279.90000000000003,283.975
2020-01-06,284.17499999999995,278.325,283.45,284.17499999999995,278.325,283.45,278.325,278.325,284.17499999999995
2020-01-07,284.15,278.225,283.475,284.15,278.225,283.475,278.225,278.225,284.15
2020-01-08,284.6,279.82500000000005,284.32500000000005,284.6,279.82500000000005,284.32500000000005,279.82500000000005,279.82500000000005,284.6
2020-01-09,283.825,279.6,283.975,283.825,279.6,283.975,279.6,279.6,283.825
2020-01-10,284.1,278.0,282.92499999999995,284.1,278.0,282.92499999999995,278.0,278.0,284.1
2020-01-11,284.20000000000005,279.29999999999995,283.92499999999995,284.20000000000005,279.29999999999995,283.92499999999995,279.29999999999995,279.29999999999995,284.20000000000005
2020-01-12,283.825,278.325,284.04999999999995,283.825,278.325,284.04999999999995,278.325,278.325,283.825
2020-01-13,283.29999999999995,278.09999999999997,283.55,283.29999999999995,278.09999999999997,283.55,278.09999999999997,278.09999999999997,283.29999999999995
2020-01-14,282.4,277.97499999999997,283.025,282.4,277.97499999999997,283.025,277.97499999999997,277.97499999999997,282.4
2020-01-15,281.54999999999995,275.725,281.65000000000003,281.54999999999995,275.725,281.65000000000003,275.725,275.725,281.54999999999995
2020-01-16,283.04999999999995,278.75,282.425,283.04999999999995,278.75,282.425,278.75,278.75,283.04999999999995
2020-01-17,282.625,276.97499999999997,281.72499999999997,282.625,276.97499999999997,281.72499999999997,276.97499999999997,276.97499999999997,282.625
2020-01-18,283.05000000000007,277.125,281.875,283.05000000000007,277.125,281.875,277.125,277.125,283.05000000000007
2020-01-19,284.925,278.05,283.875,284.925,278.05,283.875,278.05,278.05,284.925
2020-01-20,284.925,279.775,285.35,284.925,279.775,285.35,279.775,279.775,284.925
2020-01-21,285.375,280.7,284.57500000000005,285.375,280.7,284.57500000000005,280.7,280.7,285.375
2020-01-22,283.85,280.125,285.05,283.85,280.125,285.05,280.125,280.125,283.85
2020-01-23,284.95000000000005,280.45,284.9,284.95000000000005,280.45,284.9,280.45,280.45,284.95000000000005
2020-01-24,285.59999999999997,281.90000000000003,286.125,285.59999999999997,281.90000000000003,286.125,281.90000000000003,281.90000000000003,285.59999999999997
2020-01-25,285.725,281.45000000000005,285.375,285.725,281.45000000000005,285.375,281.45000000000005,281.45000000000005,285.725
2020-01-26,285.0,282.6,286.22499999999997,285.0,282.6,286.22499999999997,282.6,282.6,285.0
2020-01-27,285.125,280.925,284.525,285.125,280.925,284.525,280.925,280.925,285.125
2020-01-28,285.17499999999995,281.0,284.82500000000005,285.17499999999995,281.0,284.82500000000005,281.0,281.0,285.17499999999995
2020-01-29,285.05,280.75,285.475,285.05,280.75,285.475,280.75,280.75,285.05
2020-01-30,285.65,282.1,285.775,285.65,282.1,285.775,282.1,282.1,285.65
2020-01-31,286.75,281.95,285.4,286.75,281.95,285.4,281.95,281.95,286.75
2020-02-01,285.925,282.625,285.95,285.925,282.625,285.95,282.625,282.625,285.925
2020-02-02,283.125,282.275,286.7,283.125,282.275,286.7,282.275,282.275,283.125
2020-02-03,281.5,275.07500000000005,282.125,281.5,275.07500000000005,282.125,275.07500000000005,275.07500000000005,281.5
2020-02-04,283.15,275.625,282.4,283.15,275.625,282.4,275.625,275.625,283.15
2020-02-05,284.1,278.17500000000007,283.22499999999997,284.1,278.17500000000007,283.22499999999997,278.17500000000007,278.17500000000007,284.1
2020-02-06,285.125,281.05,285.1,285.125,281.05,285.1,281.05,281.05,285.125
2020-02-07,286.2,282.375,285.125,286.2,282.375,285.125,282.375,282.375,286.2
2020-02-08,284.65,282.42499999999995,286.175,284.65,282.42499999999995,286.175,282.42499999999995,282.42499999999995,284.65
2020-02-09,283.875,278.275,284.875,283.875,278.275,284.875,278.275,278.275,283.875
2020-02-10,285.175,279.175,285.29999999999995,285.175,279.175,285.29999999999995,279.175,279.175,285.175
2020-02-11,285.875,280.0,285.75,285.875,280.0,285.75,280.0,280.0,285.875
2020-02-12,285.25,281.125,286.07500000000005,285.25,281.125,286.07500000000005,281.125,281.125,285.25
2020-02-13,283.8,279.025,284.32500000000005,283.8,279.025,284.32500000000005,279.025,279.025,283.8
2020-02-14,283.5,280.65,284.375,283.5,280.65,284.375,280.65,280.65,283.5
2020-02-15,283.1,280.8,285.25,283.1,280.8,285.25,280.8,280.8,283.1
2020-02-16,284.175,281.5,286.17499999999995,284.175,281.5,286.17499999999995,281.5,281.5,284.175
