system:time_start,Marin,Contra Costa,Solano,San Mateo,Alameda,Sonoma,Santa Clara,Napa,San Francisco
"Jan 1, 2020",0.61,-0.41,-0.53,-1.38,-0.68,0.94,-0.81,-0.02,
"Jan 1, 2020",1.63,-0.12,-0.49,-0.42,-0.62,1.5,-0.83,0.21,
"Jan 1, 2020",2.64,0.18,-0.44,0.54,-0.55,2.06,-0.85,0.43,
"Jan 1, 2020",3.66,0.47,-0.39,1.51,-0.48,2.62,-0.87,0.66,
"Jan 1, 2020",2.9,0.59,0.02,0.99,0.05,2.38,-0.33,0.52,
"Jan 1, 2020",2.15,0.72,0.43,0.47,0.58,2.14,0.21,0.39,
"Jan 1, 2020",1.4,0.84,0.83,-0.04,1.11,1.9,0.75,0.25,
"Jan 1, 2020",2.07,0.94,1.23,0.72,1.3,2.64,1.11,0.01,
"Jan 1, 2020",2.73,1.05,1.63,1.49,1.49,3.38,1.47,-0.24,
"Jan 1, 2020",3.39,1.15,2.03,2.26,1.68,4.12,1.83,-0.49,
"Jan 1, 2020",3.11,1.07,1.72,1.91,1.5,3.61,1.53,-0.43,
"Jan 1, 2020",2.83,0.99,1.42,1.56,1.31,3.09,1.24,-0.38,
"Jan 1, 2020",2.55,0.91,1.12,1.2,1.12,2.58,0.95,-0.33,
"Jan 1, 2020",3.07,0.91,1.03,1.58,1.1,2.69,0.81,-0.42,
"Jan 1, 2020",3.6,0.91,0.94,1.95,1.07,2.8,0.66,-0.5,
"Jan 1, 2020",4.12,0.91,0.84,2.33,1.04,2.91,0.51,-0.58,
"Jan 1, 2020",3.91,0.89,1.06,2.11,1.05,3.23,0.69,-0.63,
"Jan 1, 2020",3.7,0.88,1.27,1.9,1.06,3.54,0.86,-0.68,
"Jan 1, 2020",3.49,0.87,1.48,1.69,1.07,3.86,1.04,-0.73,
"Jan 1, 2020",4.22,1.89,2.36,2.48,2.14,4.5,2.04,-0.25,
"Jan 1, 2020",4.95,2.9,3.24,3.28,3.21,5.15,3.03,0.23,
"Jan 1, 2020",5.68,3.91,4.12,4.08,4.28,5.79,4.03,0.71,
"Jan 1, 2020",5.45,3.98,3.89,4.02,4.35,5.44,4.06,0.55,
"Jan 1, 2020",5.22,4.06,3.65,3.96,4.41,5.1,4.08,0.39,
"Jan 2, 2020",4.99,4.13,3.42,3.9,4.48,4.75,4.11,0.24,
"Jan 2, 2020",5.25,4.01,3.35,4.04,4.17,4.96,3.89,0.55,
"Jan 2, 2020",5.51,3.89,3.28,4.17,3.86,5.16,3.66,0.85,
"Jan 2, 2020",5.77,3.77,3.22,4.31,3.54,5.37,3.43,1.16,
"Jan 2, 2020",5.69,3.6,3.09,4.16,3.37,5.11,3.43,1.27,
"Jan 2, 2020",5.61,3.42,2.96,4.02,3.2,4.85,3.42,1.39,
"Jan 2, 2020",5.53,3.25,2.84,3.87,3.03,4.6,3.41,1.5,
"Jan 2, 2020",5.5,3.17,2.88,3.75,2.98,4.45,3.15,1.62,
"Jan 2, 2020",5.48,3.09,2.93,3.62,2.93,4.3,2.88,1.75,
"Jan 2, 2020",5.45,3,2.98,3.5,2.88,4.15,2.62,1.87,
"Jan 2, 2020",5.24,2.73,2.47,3.14,2.66,3.74,2.25,1.73,
"Jan 2, 2020",5.03,2.46,1.97,2.78,2.44,3.33,1.88,1.6,
"Jan 2, 2020",4.81,2.18,1.47,2.42,2.22,2.92,1.51,1.46,
"Jan 2, 2020",5.05,2.37,1.79,2.64,2.37,3,1.45,1.53,
"Jan 2, 2020",5.28,2.56,2.11,2.87,2.52,3.08,1.39,1.61,
"Jan 2, 2020",5.52,2.75,2.42,3.1,2.67,3.16,1.33,1.68,
"Jan 2, 2020",5.02,2.71,2.22,2.64,2.65,3.2,1.25,1.62,
"Jan 2, 2020",4.52,2.67,2.02,2.17,2.63,3.25,1.17,1.56,
"Jan 2, 2020",4.02,2.63,1.82,1.7,2.61,3.29,1.09,1.5,
"Jan 2, 2020",4.5,3.1,2.18,2.11,2.87,3.56,1.39,1.81,
"Jan 2, 2020",4.98,3.57,2.54,2.52,3.13,3.82,1.68,2.13,
"Jan 2, 2020",5.46,4.04,2.9,2.93,3.4,4.09,1.98,2.45,
"Jan 2, 2020",5.2,3.67,2.54,2.75,3.06,3.59,1.57,2.23,
"Jan 2, 2020",4.95,3.3,2.17,2.57,2.72,3.1,1.17,2.01,
"Jan 3, 2020",4.7,2.93,1.81,2.38,2.39,2.6,0.76,1.79,
"Jan 3, 2020",4.29,2.87,1.79,2.04,2.24,2.44,0.48,1.88,
"Jan 3, 2020",3.89,2.81,1.77,1.7,2.1,2.28,0.21,1.96,
"Jan 3, 2020",3.49,2.75,1.74,1.36,1.95,2.13,-0.07,2.05,
"Jan 3, 2020",3.54,2.82,1.98,1.6,2.22,2.28,0.08,2.07,
"Jan 3, 2020",3.59,2.89,2.21,1.84,2.49,2.44,0.22,2.08,
"Jan 3, 2020",3.64,2.96,2.44,2.08,2.76,2.6,0.37,2.1,
"Jan 3, 2020",2.96,2.18,1.74,1.25,1.89,1.93,-0.32,1.65,
"Jan 3, 2020",2.28,1.4,1.04,0.41,1.02,1.26,-1.01,1.2,
"Jan 3, 2020",1.59,0.62,0.33,-0.42,0.14,0.58,-1.7,0.75,
"Jan 3, 2020",1.03,-0.13,-0.37,-0.76,-0.63,-0.07,-2.26,0.49,
"Jan 3, 2020",0.46,-0.87,-1.07,-1.11,-1.39,-0.72,-2.83,0.23,
"Jan 3, 2020",-0.11,-1.62,-1.77,-1.45,-2.16,-1.37,-3.39,-0.03,
"Jan 3, 2020",-0.86,-2.12,-2.51,-1.84,-2.69,-2.15,-3.46,-0.14,
"Jan 3, 2020",-1.52,-2.51,-3.02,-2.14,-3.05,-2.74,-3.5,-0.28,
"Jan 3, 2020",-2.18,-2.91,-3.54,-2.44,-3.41,-3.33,-3.53,-0.41,
"Jan 3, 2020",-1.85,-2.64,-3.26,-2.09,-3.01,-3.25,-2.77,-0.27,
"Jan 3, 2020",-1.52,-2.36,-2.97,-1.75,-2.61,-3.17,-2.01,-0.13,
"Jan 3, 2020",-1.2,-2.09,-2.69,-1.41,-2.22,-3.09,-1.24,0.02,
"Jan 3, 2020",-1.14,-2,-2.63,-0.86,-1.89,-3.01,-0.58,-0.39,
"Jan 3, 2020",-1.07,-1.91,-2.56,-0.3,-1.56,-2.93,0.09,-0.8,
"Jan 3, 2020",-1.01,-1.83,-2.49,0.25,-1.23,-2.86,0.76,-1.22,
"Jan 3, 2020",-1.06,-1.62,-2.09,0.25,-0.93,-2.72,0.61,-1.02,
"Jan 3, 2020",-1.1,-1.42,-1.68,0.26,-0.64,-2.58,0.46,-0.82,
"Jan 4, 2020",-1.15,-1.21,-1.28,0.26,-0.35,-2.44,0.3,-0.62,
"Jan 4, 2020",-0.26,-0.59,-0.35,0.9,0,-1.29,0.4,-0.47,
"Jan 4, 2020",0.64,0.03,0.58,1.53,0.34,-0.13,0.5,-0.32,
"Jan 4, 2020",1.53,0.64,1.52,2.17,0.68,1.02,0.59,-0.18,
"Jan 4, 2020",1.39,0.83,1.8,2.26,0.96,1.2,1.09,-0.04,
"Jan 4, 2020",1.25,1.01,2.09,2.36,1.25,1.39,1.6,0.1,
"Jan 4, 2020",1.11,1.19,2.37,2.45,1.54,1.57,2.1,0.24,
"Jan 4, 2020",1.35,0.88,2.3,2.42,1.18,1.56,1.54,-0.08,
"Jan 4, 2020",1.59,0.57,2.23,2.39,0.83,1.56,0.98,-0.41,
"Jan 4, 2020",1.83,0.26,2.16,2.36,0.48,1.56,0.42,-0.74,
"Jan 4, 2020",1.76,0.39,2.14,2.33,0.73,1.66,0.78,-0.49,
"Jan 4, 2020",1.68,0.53,2.11,2.31,0.98,1.76,1.14,-0.24,
"Jan 4, 2020",1.61,0.66,2.08,2.28,1.23,1.85,1.5,0.01,
"Jan 4, 2020",1.47,0.58,1.96,1.88,0.95,1.65,0.65,0.27,
"Jan 4, 2020",1.33,0.51,1.84,1.47,0.67,1.44,-0.19,0.53,
"Jan 4, 2020",1.19,0.43,1.72,1.07,0.39,1.24,-1.04,0.79,
"Jan 4, 2020",1.74,0.71,1.83,1.5,0.93,1.97,-0.03,0.26,
"Jan 4, 2020",2.3,1,1.95,1.94,1.48,2.7,0.98,-0.27,
"Jan 4, 2020",2.85,1.29,2.07,2.37,2.02,3.44,2,-0.8,
"Jan 4, 2020",3.57,2.03,2.21,2.74,2.53,3.72,2.37,-0.22,
"Jan 4, 2020",4.29,2.77,2.35,3.12,3.04,3.99,2.75,0.35,
"Jan 4, 2020",5.01,3.52,2.49,3.49,3.54,4.27,3.12,0.93,
"Jan 4, 2020",5.17,3.53,2.55,3.72,3.66,3.95,3.34,1.2,
"Jan 4, 2020",5.33,3.55,2.6,3.96,3.78,3.63,3.55,1.48,
"Jan 5, 2020",5.49,3.57,2.66,4.19,3.89,3.31,3.77,1.75,
"Jan 5, 2020",5.5,3.23,2.81,4.1,3.53,3.44,3.4,1.33,
"Jan 5, 2020",5.52,2.89,2.96,4,3.17,3.56,3.04,0.91,
"Jan 5, 2020",5.53,2.56,3.11,3.9,2.81,3.69,2.67,0.49,
"Jan 5, 2020",6.08,2.89,3.28,4.45,2.95,4.48,2.88,0.85,
"Jan 5, 2020",6.64,3.22,3.45,5.01,3.09,5.28,3.08,1.2,
