system:time_start,San Francisco,Napa,Santa Clara,Sonoma,Alameda,San Mateo,Solano,Contra Costa,Marin
"Jan 1, 2020",286.1,284,288,286.1,284,288,284,284,286.1
"Jan 1, 2020",285.4,279.7,283.8,285.4,279.7,283.8,279.7,279.7,285.4
"Jan 1, 2020",286.7,282.6,285.2,286.7,282.6,285.2,282.6,282.6,286.7
"Jan 1, 2020",285.4,282.5,285.5,285.4,282.5,285.5,282.5,282.5,285.4
"Jan 2, 2020",285.9,284.4,287.3,285.9,284.4,287.3,284.4,284.4,285.9
"Jan 2, 2020",284.3,279.9,285.6,284.3,279.9,285.6,279.9,279.9,284.3
"Jan 2, 2020",284.6,280.5,285.8,284.6,280.5,285.8,280.5,280.5,284.6
"Jan 2, 2020",284.5,280.3,285.9,284.5,280.3,285.9,280.3,280.3,284.5
"Jan 3, 2020",286.4,284.4,288.2,286.4,284.4,288.2,284.4,284.4,286.4
"Jan 3, 2020",285.3,281.5,286.5,285.3,281.5,286.5,281.5,281.5,285.3
"Jan 3, 2020",285.1,279.3,283.2,285.1,279.3,283.2,279.3,279.3,285.1
"Jan 3, 2020",285.4,279.2,283.8,285.4,279.2,283.8,279.2,279.2,285.4
"Jan 4, 2020",286.9,284.8,287.9,286.9,284.8,287.9,284.8,284.8,286.9
"Jan 4, 2020",284.9,280.7,285,284.9,280.7,285,280.7,280.7,284.9
"Jan 4, 2020",283.3,281.2,285.5,283.3,281.2,285.5,281.2,281.2,283.3
"Jan 4, 2020",282.6,279,284.3,282.6,279,284.3,279,279,282.6
"Jan 5, 2020",283.8,282.1,285.9,283.8,282.1,285.9,282.1,282.1,283.8
"Jan 5, 2020",283.1,279.6,283.7,283.1,279.6,283.7,279.6,279.6,283.1
"Jan 5, 2020",284.9,279.7,284.5,284.9,279.7,284.5,279.7,279.7,284.9
"Jan 5, 2020",284.1,278.2,284.2,284.1,278.2,284.2,278.2,278.2,284.1
"Jan 6, 2020",284.5,281.4,285.8,284.5,281.4,285.8,281.4,281.4,284.5
"Jan 6, 2020",284,278.7,283.5,284,278.7,283.5,278.7,278.7,284
"Jan 6, 2020",283.8,276.4,282,283.8,276.4,282,276.4,276.4,283.8
"Jan 6, 2020",284.4,276.8,282.5,284.4,276.8,282.5,276.8,276.8,284.4
"Jan 7, 2020",284.5,281,286.7,284.5,281,286.7,281,281,284.5
"Jan 7, 2020",283.8,277.4,281.9,283.8,277.4,281.9,277.4,277.4,283.8
"Jan 7, 2020",284,277.1,282.7,284,277.1,282.7,277.1,277.1,284
"Jan 7, 2020",284.3,277.4,282.6,284.3,277.4,282.6,277.4,277.4,284.3
"Jan 8, 2020",285.9,282.7,286.4,285.9,282.7,286.4,282.7,282.7,285.9
"Jan 8, 2020",284.5,278.5,283.3,284.5,278.5,283.3,278.5,278.5,284.5
"Jan 8, 2020",284.1,279.2,284.2,284.1,279.2,284.2,279.2,279.2,284.1
"Jan 8, 2020",283.9,278.9,283.4,283.9,278.9,283.4,278.9,278.9,283.9
"Jan 9, 2020",283.4,280,284.9,283.4,280,284.9,280,280,283.4
"Jan 9, 2020",284.3,278.8,283.1,284.3,278.8,283.1,278.8,278.8,284.3
"Jan 9, 2020",283.9,280.1,283.6,283.9,280.1,283.6,280.1,280.1,283.9
"Jan 9, 2020",283.7,279.5,284.3,283.7,279.5,284.3,279.5,279.5,283.7
"Jan 10, 2020",283.6,279.9,284.4,283.6,279.9,284.4,279.9,279.9,283.6
"Jan 10, 2020",284.1,278.7,284.2,284.1,278.7,284.2,278.7,278.7,284.1
"Jan 10, 2020",284.4,276.8,281.4,284.4,276.8,281.4,276.8,276.8,284.4
"Jan 10, 2020",284.3,276.6,281.7,284.3,276.6,281.7,276.6,276.6,284.3
"Jan 11, 2020",284.7,279.1,284.4,284.7,279.1,284.4,279.1,279.1,284.7
"Jan 11, 2020",285.2,279.4,283.4,285.2,279.4,283.4,279.4,279.4,285.2
"Jan 11, 2020",283.8,279.8,284,283.8,279.8,284,279.8,279.8,283.8
"Jan 11, 2020",283.1,278.9,283.9,283.1,278.9,283.9,278.9,278.9,283.1
"Jan 12, 2020",284,280.1,284.7,284,280.1,284.7,280.1,280.1,284
"Jan 12, 2020",284.3,277.9,284.2,284.3,277.9,284.2,277.9,277.9,284.3
"Jan 12, 2020",283.8,278.4,283.7,283.8,278.4,283.7,278.4,278.4,283.8
"Jan 12, 2020",283.2,276.9,283.6,283.2,276.9,283.6,276.9,276.9,283.2
"Jan 13, 2020",283.2,278.6,283.6,283.2,278.6,283.6,278.6,278.6,283.2
"Jan 13, 2020",283.4,278.2,284.1,283.4,278.2,284.1,278.2,278.2,283.4
"Jan 13, 2020",282.8,278.3,283.4,282.8,278.3,283.4,278.3,278.3,282.8
"Jan 13, 2020",283.8,277.3,283.1,283.8,277.3,283.1,277.3,277.3,283.8
"Jan 14, 2020",284,279.7,284.1,284,279.7,284.1,279.7,279.7,284
"Jan 14, 2020",282.5,278.4,282.8,282.5,278.4,282.8,278.4,278.4,282.5
"Jan 14, 2020",282,277.5,283.3,282,277.5,283.3,277.5,277.5,282
"Jan 14, 2020",281.1,276.3,281.9,281.1,276.3,281.9,276.3,276.3,281.1
"Jan 15, 2020",280.9,276.7,282.8,280.9,276.7,282.8,276.7,276.7,280.9
"Jan 15, 2020",281.7,276.2,282.1,281.7,276.2,282.1,276.2,276.2,281.7
"Jan 15, 2020",281.2,275.3,281.7,281.2,275.3,281.7,275.3,275.3,281.2
"Jan 15, 2020",282.4,274.7,280,282.4,274.7,280,274.7,274.7,282.4
"Jan 16, 2020",283.3,278.7,282.9,283.3,278.7,282.9,278.7,278.7,283.3
"Jan 16, 2020",283.5,278.4,282,283.5,278.4,282,278.4,278.4,283.5
"Jan 16, 2020",282.8,279,282.5,282.8,279,282.5,279,279,282.8
"Jan 16, 2020",282.6,278.9,282.3,282.6,278.9,282.3,278.9,278.9,282.6
"Jan 17, 2020",282.3,277.7,282.2,282.3,277.7,282.2,277.7,277.7,282.3
"Jan 17, 2020",282,276.4,281.9,282,276.4,281.9,276.4,276.4,282
"Jan 17, 2020",282.7,277.1,281.6,282.7,277.1,281.6,277.1,277.1,282.7
"Jan 17, 2020",283.5,276.7,281.2,283.5,276.7,281.2,276.7,276.7,283.5
"Jan 18, 2020",283.3,278.3,282.9,283.3,278.3,282.9,278.3,278.3,283.3
"Jan 18, 2020",282.6,276.5,282,282.6,276.5,282,276.5,276.5,282.6
"Jan 18, 2020",282.7,277.1,281,282.7,277.1,281,277.1,277.1,282.7
"Jan 18, 2020",283.6,276.6,281.6,283.6,276.6,281.6,276.6,276.6,283.6
"Jan 19, 2020",284.5,279.9,284.7,284.5,279.9,284.7,279.9,279.9,284.5
"Jan 19, 2020",285.3,277.1,282.9,285.3,277.1,282.9,277.1,277.1,285.3
"Jan 19, 2020",285.6,278.1,284.2,285.6,278.1,284.2,278.1,278.1,285.6
"Jan 19, 2020",284.3,277.1,283.7,284.3,277.1,283.7,277.1,277.1,284.3
"Jan 20, 2020",285.7,280.8,286.6,285.7,280.8,286.6,280.8,280.8,285.7
"Jan 20, 2020",284.3,278.7,284.5,284.3,278.7,284.5,278.7,278.7,284.3
"Jan 20, 2020",285.4,280.3,285.3,285.4,280.3,285.3,280.3,280.3,285.4
"Jan 20, 2020",284.3,279.3,285,284.3,279.3,285,279.3,279.3,284.3
"Jan 21, 2020",285.5,282.4,285.1,285.5,282.4,285.1,282.4,282.4,285.5
"Jan 21, 2020",284.5,279.6,283.8,284.5,279.6,283.8,279.6,279.6,284.5
"Jan 21, 2020",286.2,280.9,284.6,286.2,280.9,284.6,280.9,280.9,286.2
"Jan 21, 2020",285.3,279.9,284.8,285.3,279.9,284.8,279.9,279.9,285.3
"Jan 22, 2020",284.5,281.3,285.8,284.5,281.3,285.8,281.3,281.3,284.5
"Jan 22, 2020",283.3,279.3,284.9,283.3,279.3,284.9,279.3,279.3,283.3
"Jan 22, 2020",284,280.9,285.2,284,280.9,285.2,280.9,280.9,284
