date,state,county,categoryName,visitIndex,visitIndexOver65,visitIndexUnder65,rank
2020-03-01,California,Colusa County,Food,109,,107,1
2020-03-01,California,San Luis Obispo County,Food,99,91,99,1
2020-03-01,California,San Luis Obispo County,Shops & Services,102,90,103,2
2020-03-01,California,San Luis Obispo County,Outdoors & Recreation,75,74,76,3
2020-03-01,California,San Luis Obispo County,Hotel,86,86,86,4
2020-03-01,California,San Luis Obispo County,Nightlife Spots,99,87,100,5
2020-03-01,California,San Luis Obispo County,Grocery,84,95,83,6
2020-03-01,California,San Luis Obispo County,Professional & Other Places,82,71,82,7
2020-03-01,California,San Luis Obispo County,Gas Stations,102,93,103,8
2020-03-01,California,San Luis Obispo County,Arts & Entertainment,83,,83,9
2020-03-01,California,San Luis Obispo County,Beach,75,,77,10
2020-03-01,California,San Luis Obispo County,Fast Food Restaurants,100,,100,11
2020-03-01,California,San Luis Obispo County,Colleges & Universities,111,,112,12
2020-03-01,California,San Luis Obispo County,Big Box Stores,86,,85,13
2020-03-01,California,Kings County,Food,104,73,105,1
2020-03-01,California,Kings County,Shops & Services,113,,113,2
2020-03-01,California,Kings County,Arts & Entertainment,113,,112,3
2020-03-01,California,Kings County,Gas Stations,99,,98,4
2020-03-01,California,Kings County,Grocery,96,,95,5
2020-03-01,California,Kings County,Fast Food Restaurants,108,,108,6
2020-03-01,California,Kings County,Big Box Stores,95,,95,7
2020-03-01,California,Kings County,Discount Stores,121,,121,8
2020-03-01,California,Kings County,Outdoors & Recreation,101,,101,9
2020-03-01,California,Los Angeles County,Food,100,98,100,1
2020-03-01,California,Los Angeles County,Shops & Services,101,99,101,2
2020-03-01,California,Los Angeles County,Grocery,94,96,94,3
2020-03-01,California,Los Angeles County,Outdoors & Recreation,96,95,96,4
2020-03-01,California,Los Angeles County,Arts & Entertainment,97,97,97,5
2020-03-01,California,Los Angeles County,Fast Food Restaurants,102,101,102,6
2020-03-01,California,Los Angeles County,Nightlife Spots,100,99,100,7
2020-03-01,California,Los Angeles County,Gas Stations,102,101,102,8
2020-03-01,California,Los Angeles County,Airport,102,111,102,9
2020-03-01,California,Los Angeles County,Professional & Other Places,103,106,103,10
2020-03-01,California,Los Angeles County,Big Box Stores,105,107,105,11
2020-03-01,California,Los Angeles County,School,103,97,103,12
2020-03-01,California,Los Angeles County,Hotel,93,107,93,13
2020-03-01,California,Los Angeles County,Convenience Store,102,98,102,14
2020-03-01,California,Los Angeles County,Fitness Center,102,105,102,15
2020-03-01,California,Los Angeles County,Drug Store,103,111,103,16
2020-03-01,California,Los Angeles County,Colleges & Universities,112,119,111,17
2020-03-01,California,Los Angeles County,Medical,98,100,98,18
2020-03-01,California,Los Angeles County,Residences,95,80,95,19
2020-03-01,California,Los Angeles County,Travel & Transport,100,99,100,20
2020-03-01,California,Los Angeles County,Hardware Stores,104,95,105,21
2020-03-01,California,Los Angeles County,Discount Stores,101,101,101,22
