date,state,county,categoryName,visitIndex,visitIndexOver65,visitIndexUnder65,rank
2020-03-01,California,Napa County,Food,102,101.0,102,1
2020-03-01,California,Napa County,Professional & Other Places,97,77.0,98,2
2020-03-01,California,Napa County,Hotel,108,,108,3
2020-03-01,California,Napa County,Shops & Services,113,,113,4
2020-03-01,California,Napa County,Outdoors & Recreation,98,112.0,98,5
2020-03-01,California,Napa County,Grocery,98,112.0,98,6
2020-03-01,California,Napa County,Nightlife Spots,121,,121,7
2020-03-01,California,Napa County,Big Box Stores,105,,104,8
2020-03-01,California,Napa County,School,227,,228,9
2020-03-01,California,Santa Clara County,Food,100,95.0,100,1
2020-03-01,California,Santa Clara County,Shops & Services,101,104.0,101,2
2020-03-01,California,Santa Clara County,Grocery,100,107.0,100,3
2020-03-01,California,Santa Clara County,Outdoors & Recreation,102,104.0,102,4
2020-03-01,California,Santa Clara County,Arts & Entertainment,107,118.0,107,5
2020-03-01,California,Santa Clara County,Gas Stations,105,110.0,105,6
2020-03-01,California,Santa Clara County,Professional & Other Places,101,90.0,102,7
2020-03-01,California,Santa Clara County,Nightlife Spots,106,107.0,106,8
2020-03-01,California,Santa Clara County,Residences,100,84.0,100,9
2020-03-01,California,Santa Clara County,Big Box Stores,107,109.0,107,10
2020-03-01,California,Santa Clara County,School,100,102.0,100,11
2020-03-01,California,Santa Clara County,Fitness Center,100,84.0,101,12
2020-03-01,California,Santa Clara County,Colleges & Universities,114,179.0,113,13
2020-03-01,California,Santa Clara County,Fast Food Restaurants,100,101.0,100,14
2020-03-01,California,Santa Clara County,Airport,108,94.0,108,15
2020-03-01,California,Santa Clara County,Hotel,111,110.0,111,16
2020-03-01,California,Santa Clara County,Office,108,89.0,108,17
2020-03-01,California,Santa Clara County,Medical,92,104.0,92,18
2020-03-01,California,Santa Clara County,Drug Store,109,137.0,108,19
2020-03-01,California,Santa Clara County,Hardware Stores,120,105.0,121,20
2020-03-01,California,Santa Clara County,Convenience Store,102,,102,21
2020-03-01,California,Santa Clara County,Sports,104,127.0,103,22
2020-03-01,California,Santa Clara County,Travel & Transport,114,,114,23
2020-03-01,California,Santa Clara County,Banks,131,,130,24
2020-03-01,California,Santa Clara County,Alcohol,99,,100,25
2020-03-01,California,Santa Clara County,Discount Stores,98,,98,26
2020-03-01,California,Santa Clara County,Government,108,,110,27
2020-03-01,California,Sonoma County,Food,92,83.0,93,1
2020-03-01,California,Sonoma County,Shops & Services,97,92.0,97,2
2020-03-01,California,Sonoma County,Outdoors & Recreation,88,96.0,87,3
2020-03-01,California,Sonoma County,Grocery,91,91.0,91,4
2020-03-01,California,Sonoma County,Nightlife Spots,86,101.0,85,5
2020-03-01,California,Sonoma County,Professional & Other Places,79,78.0,79,6
