date,county,state,fips,cases,deaths
2020-03-20,Imperial,California,6025.0,4,0
2020-03-21,Imperial,California,6025.0,4,0
2020-03-22,Imperial,California,6025.0,4,0
2020-03-23,Imperial,California,6025.0,4,0
2020-03-24,Imperial,California,6025.0,9,0
2020-03-25,Imperial,California,6025.0,9,0
2020-03-26,Imperial,California,6025.0,17,0
2020-03-27,Imperial,California,6025.0,21,0
2020-03-28,Imperial,California,6025.0,25,0
2020-03-29,Imperial,California,6025.0,25,0
2020-03-30,Imperial,California,6025.0,33,0
2020-03-31,Imperial,California,6025.0,38,0
2020-04-01,Imperial,California,6025.0,43,0
2020-04-02,Imperial,California,6025.0,50,0
2020-04-03,Imperial,California,6025.0,55,0
2020-04-04,Imperial,California,6025.0,55,0
2020-04-05,Imperial,California,6025.0,57,1
2020-04-06,Imperial,California,6025.0,68,3
2020-04-07,Imperial,California,6025.0,73,2
2020-04-08,Imperial,California,6025.0,75,3
2020-04-09,Imperial,California,6025.0,79,2
2020-03-17,Kern,California,6029.0,1,0
2020-03-18,Kern,California,6029.0,1,0
2020-03-19,Kern,California,6029.0,2,0
2020-03-20,Kern,California,6029.0,2,0
2020-03-21,Kern,California,6029.0,4,0
2020-03-22,Kern,California,6029.0,5,0
2020-03-23,Kern,California,6029.0,5,0
2020-03-24,Kern,California,6029.0,14,0
2020-03-25,Kern,California,6029.0,24,0
2020-03-26,Kern,California,6029.0,33,0
2020-03-27,Kern,California,6029.0,41,1
2020-03-28,Kern,California,6029.0,47,1
2020-03-29,Kern,California,6029.0,51,1
2020-03-30,Kern,California,6029.0,76,1
2020-03-31,Kern,California,6029.0,101,1
2020-04-01,Kern,California,6029.0,110,1
2020-04-02,Kern,California,6029.0,155,1
2020-04-03,Kern,California,6029.0,199,2
2020-04-04,Kern,California,6029.0,205,2
2020-04-05,Kern,California,6029.0,225,2
2020-04-06,Kern,California,6029.0,246,2
2020-04-07,Kern,California,6029.0,267,2
2020-04-08,Kern,California,6029.0,309,2
2020-04-09,Kern,California,6029.0,330,3
2020-01-26,Los Angeles,California,6037.0,1,0
2020-01-27,Los Angeles,California,6037.0,1,0
2020-01-28,Los Angeles,California,6037.0,1,0
2020-01-29,Los Angeles,California,6037.0,1,0
2020-01-30,Los Angeles,California,6037.0,1,0
2020-01-31,Los Angeles,California,6037.0,1,0
2020-02-01,Los Angeles,California,6037.0,1,0
2020-02-02,Los Angeles,California,6037.0,1,0
2020-02-03,Los Angeles,California,6037.0,1,0
2020-02-04,Los Angeles,California,6037.0,1,0
2020-02-05,Los Angeles,California,6037.0,1,0
2020-02-06,Los Angeles,California,6037.0,1,0
2020-02-07,Los Angeles,California,6037.0,1,0
2020-02-08,Los Angeles,California,6037.0,1,0
2020-02-09,Los Angeles,California,6037.0,1,0
2020-02-10,Los Angeles,California,6037.0,1,0
2020-02-11,Los Angeles,California,6037.0,1,0
2020-02-12,Los Angeles,California,6037.0,1,0
2020-02-13,Los Angeles,California,6037.0,1,0
2020-02-14,Los Angeles,California,6037.0,1,0
2020-02-15,Los Angeles,California,6037.0,1,0
2020-02-16,Los Angeles,California,6037.0,1,0
2020-02-17,Los Angeles,California,6037.0,1,0
2020-02-18,Los Angeles,California,6037.0,1,0
2020-02-19,Los Angeles,California,6037.0,1,0
2020-02-20,Los Angeles,California,6037.0,1,0
2020-02-21,Los Angeles,California,6037.0,1,0
2020-02-22,Los Angeles,California,6037.0,1,0
